,Ann. Return,Ann. Volatility,Sharpe Ratio,AAPL,MSFT,NVDA,GOOGL,AMZN
max_sharpe,0.6251142777404626,0.4785950916213904,1.2121191543673049,4.250714492798865e-09,5.36388440691673e-10,0.8552338189260844,0.1447661758152941,4.715185359163618e-10
min_variance,0.23175360732232808,0.2722770597129358,0.6858954901276815,0.2821197135627646,0.3814728927248808,4.538657051275655e-09,0.2385977634283946,0.097809625745303
risk_parity,0.29256699275616294,0.29181680889385675,0.8483644026352544,0.22304438511853977,0.22354499614984888,0.13662824221973183,0.2170594545965583,0.19972292191532126
