k_tp,k_sl,max_days,total_trades,hit_rate,avg_win,avg_loss,total_return,ann_return,sharpe,max_drawdown,avg_hold_days,tp_exits,sl_exits,time_exits,expectancy
0.4,2.0,10,670,0.5985074626865672,0.04115553305989585,-0.06025150503400224,-0.9549772671425594,-0.6667767159044011,-4.156023734651867,-0.9554089121370452,7.035820895522388,327,23,320,0.000441364034136766
0.2,0.75,21,537,0.6871508379888268,0.03799875394579393,-0.09285473400779175,-0.9362934567025215,-0.6231517563343721,-4.262885395289665,-0.9370283730560185,7.558659217877095,355,121,61,-0.0029386501067244913
0.4,1.5,10,677,0.5937961595273265,0.040422939093789585,-0.061966994501447374,-0.9526242663774686,-0.6607055218659093,-4.279967940406739,-0.9530784702202919,6.825701624815362,326,58,293,-0.0011682451583376885
0.15,1.0,21,536,0.7350746268656716,0.03279489109120862,-0.1008738471833743,-0.9429437514892318,-0.6375934189801284,-4.365541235316385,-0.9434463424389272,7.509328358208955,390,78,68,-0.0026173492725801474
0.3,0.75,10,787,0.6086404066073697,0.03588245406876713,-0.05874685220164272,-0.9518866964725613,-0.6588426389575128,-4.434494783944607,-0.9522114198825326,5.02287166454892,432,194,161,-0.0011516327562471444
0.2,1.0,15,629,0.7027027027027027,0.03467541310895581,-0.0805801575471801,-0.9509296837781178,-0.6564527865961773,-4.464113595626161,-0.9515308414410301,6.618441971383148,427,93,109,0.0004102434544289227
0.2,2.0,15,585,0.7145299145299145,0.03461123722441412,-0.0791418977364047,-0.9581868465510888,-0.6753978324852845,-4.490942557964326,-0.9586598811583334,7.482051282051282,404,20,161,0.0021381200646590076
0.2,1.5,15,599,0.7145242070116862,0.03472571016407986,-0.08156276545859087,-0.9552675858372138,-0.667539875970109,-4.502118308049717,-0.9557736462086339,7.217028380634391,414,40,145,0.001528165370295733
0.3,1.0,10,748,0.6270053475935828,0.03559119467999892,-0.06360818767119897,-0.955830777350084,-0.669029504139895,-4.54908401592178,-0.956128881606976,5.55614973262032,419,132,197,-0.001409644459017409
0.3,2.0,10,708,0.6384180790960452,0.035699167130918835,-0.06050760364373775,-0.9665856499728039,-0.7001962788928353,-4.5563298050030445,-0.9668111680912308,6.309322033898305,402,22,284,0.0009125381502520478
0.15,0.75,21,593,0.7200674536256324,0.032899978126988874,-0.09403541187143645,-0.94930182177058,-0.6524558776080307,-4.5566902998871015,-0.9497053330476081,6.600337268128162,420,123,50,-0.0026333688202937605
0.2,0.75,15,670,0.6880597014925374,0.03407437212561412,-0.07918753530513889,-0.9536266785012528,-0.6632675789438001,-4.5700128604778145,-0.9538396268177385,5.997014925373135,448,143,79,-0.00125658108785957
0.3,1.5,10,718,0.6350974930362117,0.03515711317382714,-0.06330769557518053,-0.9646856600528443,-0.6942617646458433,-4.615981521487745,-0.9649240014687894,6.066852367688022,405,55,258,-0.0007729423863957197
0.15,1.5,15,637,0.7456828885400314,0.0306166867524981,-0.08249921193254621,-0.9631334230536994,-0.6895646822454247,-4.686921359071952,-0.9632512699847576,6.577708006279435,469,38,130,0.0018493781387191703
0.15,2.0,15,624,0.7467948717948718,0.030640508994297377,-0.08123950382040289,-0.9636517401201976,-0.6911186659181687,-4.705280883745047,-0.96376793020973,6.793269230769231,460,20,144,0.0023119160059598097
0.15,1.0,15,674,0.7344213649851632,0.03038126461945857,-0.08458009353181106,-0.9602341470711832,-0.6811224794439017,-4.7432865404210345,-0.9604372562049438,5.9183976261127595,489,96,89,-0.0001500159578074027
0.15,0.75,15,715,0.7216783216783217,0.030324541462881847,-0.08098328448138785,-0.9599049263344939,-0.6801892791876523,-4.765242416841458,-0.9601097170048927,5.313286713286713,512,144,59,-0.0006548394642645408
0.2,0.75,10,832,0.6550480769230769,0.030407780764801093,-0.061768626682836565,-0.9653607208064261,-0.6963461222404601,-4.8843291334231935,-0.9655694629857181,4.361778846153846,516,194,122,-0.0013886482465835376
0.2,1.0,10,792,0.6755050505050505,0.0299133198500913,-0.06708390593823085,-0.9688661883585314,-0.7076145549524313,-5.003197802547701,-0.969227422347973,4.837121212121212,503,133,156,-0.0015617900332405114
0.15,0.75,10,860,0.6755813953488372,0.027773378328046244,-0.06356615568679178,-0.9678351300080638,-0.704218665070085,-5.016013157801794,-0.9679444074435155,4.024418604651163,560,197,103,-0.0018588658465349267
0.2,1.5,10,763,0.6841415465268676,0.029616626615287085,-0.06613128662847985,-0.9750319195908596,-0.7296137443517601,-5.068092326627055,-0.9752510408059384,5.328964613368283,489,54,220,-0.0006261611851687866
0.2,2.0,10,754,0.6883289124668435,0.029536396924456348,-0.06343375038992244,-0.9763235004786006,-0.7346563297294855,-5.143063406439938,-0.9765312867104186,5.518567639257294,487,22,245,0.0005602900028661394
0.15,1.0,10,819,0.6959706959706959,0.0275752985137073,-0.06898759885003795,-0.9711464882897765,-0.7153916531640733,-5.144467215712188,-0.9714062658126494,4.465201465201465,548,135,136,-0.001782651966845291
0.15,1.5,10,791,0.706700379266751,0.02733083868643838,-0.0680636814508874,-0.9767191613709262,-0.7362364976172979,-5.198888256541874,-0.9768626142626633,4.921618204804045,536,55,200,-0.0006483378898695519
0.15,2.0,10,780,0.7076923076923077,0.027252550315941114,-0.06519677047372296,-0.9782703309067639,-0.7426044091279187,-5.2657770532018,-0.9784042257340758,5.133333333333334,529,23,228,0.00022890270050084788
